brand_id,brand_name,country_of_origin,founded_year,website,is_premium
1,TechPro,Brazil,1986,https://www.techpro.com,false
2,StyleMax,Japan,1963,https://www.stylemax.com,false
3,HomeLife,Japan,2007,https://www.homelife.com,false
4,SportElite,Germany,1973,https://www.sportelite.com,false
5,BookWorld,USA,1968,https://www.bookworld.com,false
6,FunTime,Brazil,2014,https://www.funtime.com,false
7,BeautyGlow,Argentina,1967,https://www.beautyglow.com,false
8,FreshFood,Brazil,1955,https://www.freshfood.com,false
9,GardenPro,USA,1974,https://www.gardenpro.com,true
10,AutoParts,Brazil,1960,https://www.autoparts.com,false
11,GlobalTech,Brazil,2005,https://www.globaltech.com,false
12,PremiumStyle,Argentina,1981,https://www.premiumstyle.com,true
13,QualityHome,Brazil,1953,https://www.qualityhome.com,false
14,ActiveLife,Argentina,2014,https://www.activelife.com,false
15,SmartChoice,Brazil,1955,https://www.smartchoice.com,false
