inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,3,484,12,600,2024-02-07
2,2,5,209,10,240,2025-04-06
3,2,1,204,48,907,2024-09-05
4,3,2,312,16,511,2025-10-06
5,3,5,399,49,765,2025-07-19
6,3,5,23,20,668,2025-11-01
7,4,3,246,20,394,2025-01-09
8,4,3,438,20,260,2025-03-26
9,4,2,434,25,503,2026-03-29
10,5,5,334,40,326,2024-05-31
11,5,1,485,50,417,2024-01-02
12,6,3,439,17,248,2025-09-10
13,7,3,244,37,237,2025-03-27
14,7,1,295,29,873,2025-05-30
15,7,5,222,25,444,2024-06-22
16,8,5,486,10,377,2024-11-09
17,8,4,416,47,417,2025-03-25
18,8,4,132,28,813,2025-12-12
19,9,5,306,29,581,2026-04-11
20,10,4,66,47,947,2024-12-03
21,10,3,398,22,208,2024-07-05
22,11,5,298,49,428,2025-06-22
23,11,5,255,22,783,2024-09-11
24,12,3,395,38,397,2025-08-02
25,12,5,207,48,665,2024-06-14
26,12,5,290,39,527,2025-04-27
27,13,5,116,50,261,2025-09-27
28,13,1,12,43,379,2024-09-10
29,14,1,138,37,522,2024-11-26
30,15,4,280,13,937,2024-04-12
31,16,1,467,37,631,2024-05-11
32,16,4,251,20,781,2025-10-17
33,17,1,383,16,576,2024-01-20
34,18,2,66,26,654,2026-03-18
35,18,4,407,25,566,2024-10-10
36,19,2,151,41,373,2024-08-14
37,19,5,77,24,218,2026-03-04
38,20,3,150,50,889,2024-11-08
39,20,3,222,41,833,2024-08-24
