order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,11,4,155.11,620.44
2,2,17,5,438.7,2193.5
3,2,1,3,289.02,867.06
4,3,9,1,361.9,361.9
5,3,20,2,100.04,200.08
6,3,17,3,438.7,1316.1
7,3,5,5,147.25,736.25
8,4,4,3,84.09,252.27
9,4,14,3,56.79,170.37
10,5,7,4,378.2,1512.8
11,5,8,3,110.16,330.48
12,6,19,4,213.58,854.32
13,6,9,3,361.9,1085.7
14,6,1,2,289.02,578.04
15,6,5,4,147.25,589
16,7,16,1,429.76,429.76
17,7,3,4,141.61,566.44
18,8,18,5,24.74,123.7
19,9,17,1,438.7,438.7
20,9,19,1,213.58,213.58
21,9,3,2,141.61,283.22
22,10,4,5,84.09,420.45
23,10,17,1,438.7,438.7
24,10,14,5,56.79,283.95
25,10,20,2,100.04,200.08
26,11,14,5,56.79,283.95
27,11,5,5,147.25,736.25
28,11,8,5,110.16,550.8
29,11,11,5,155.11,775.55
30,12,19,1,213.58,213.58
31,12,2,1,21.23,21.23
32,12,11,3,155.11,465.33
33,12,3,4,141.61,566.44
34,13,12,2,347.83,695.66
35,13,5,2,147.25,294.5
36,13,9,5,361.9,1809.5
37,13,5,1,147.25,147.25
38,13,4,4,84.09,336.36
39,14,14,3,56.79,170.37
40,15,17,2,438.7,877.4
41,15,10,2,356.44,712.88
42,15,5,2,147.25,294.5
43,15,18,1,24.74,24.74
44,16,4,4,84.09,336.36
45,16,16,4,429.76,1719.04
46,16,4,5,84.09,420.45
47,16,10,2,356.44,712.88
48,17,13,3,471.94,1415.82
49,17,9,2,361.9,723.8
50,17,8,3,110.16,330.48
51,17,19,2,213.58,427.16
52,17,13,2,471.94,943.88
53,18,11,4,155.11,620.44
54,18,6,1,199.57,199.57
55,18,17,4,438.7,1754.8
56,18,8,3,110.16,330.48
57,18,1,5,289.02,1445.1
58,19,13,5,471.94,2359.7
59,19,11,1,155.11,155.11
60,19,12,1,347.83,347.83
61,19,11,2,155.11,310.22
62,20,3,4,141.61,566.44
63,20,1,5,289.02,1445.1
64,20,16,4,429.76,1719.04
65,20,13,2,471.94,943.88
66,20,16,4,429.76,1719.04
67,21,3,5,141.61,708.05
68,21,18,1,24.74,24.74
69,21,9,4,361.9,1447.6
70,22,6,4,199.57,798.28
71,22,10,4,356.44,1425.76
72,22,1,4,289.02,1156.08
73,22,9,1,361.9,361.9
74,22,13,4,471.94,1887.76
75,23,17,4,438.7,1754.8
76,23,13,2,471.94,943.88
77,24,17,5,438.7,2193.5
78,24,11,4,155.11,620.44
79,24,13,2,471.94,943.88
80,24,5,3,147.25,441.75
81,25,7,5,378.2,1891
82,25,5,2,147.25,294.5
83,26,16,2,429.76,859.52
84,26,9,4,361.9,1447.6
85,26,10,4,356.44,1425.76
86,26,1,5,289.02,1445.1
87,26,15,4,257.75,1031
88,27,5,3,147.25,441.75
89,28,2,2,21.23,42.46
90,29,6,5,199.57,997.85
91,29,19,3,213.58,640.74
92,29,11,1,155.11,155.11
93,29,1,1,289.02,289.02
94,30,17,3,438.7,1316.1
95,30,19,5,213.58,1067.9
96,30,12,5,347.83,1739.15
97,30,1,1,289.02,289.02
98,31,11,5,155.11,775.55
99,32,12,1,347.83,347.83
100,32,2,3,21.23,63.69
101,32,5,4,147.25,589
102,32,18,1,24.74,24.74
103,33,4,1,84.09,84.09
104,34,17,4,438.7,1754.8
105,34,3,4,141.61,566.44
106,35,10,3,356.44,1069.32
107,35,11,1,155.11,155.11
108,35,6,5,199.57,997.85
109,35,1,3,289.02,867.06
110,36,19,5,213.58,1067.9
111,36,9,1,361.9,361.9
112,36,16,4,429.76,1719.04
113,36,17,4,438.7,1754.8
114,37,4,2,84.09,168.18
115,37,12,1,347.83,347.83
116,37,20,1,100.04,100.04
117,38,9,3,361.9,1085.7
118,38,20,3,100.04,300.12
119,39,5,4,147.25,589
120,39,16,2,429.76,859.52
121,39,7,5,378.2,1891
122,39,2,3,21.23,63.69
123,40,1,4,289.02,1156.08
124,40,9,3,361.9,1085.7
125,41,4,5,84.09,420.45
126,41,9,5,361.9,1809.5
127,42,19,2,213.58,427.16
128,42,12,3,347.83,1043.49
129,42,10,4,356.44,1425.76
