order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
1,ORD-20250717-00001,13,2025-07-17,delivered,620.44,13,420,130.29,1090.07,bank_transfer,express,8,
2,ORD-20231204-00002,28,2023-12-04,delivered,3060.56,3,410,642.72,4021.46,debit_card,standard,8,
3,ORD-20230115-00003,7,2023-01-15,processing,2614.33,15,250,549.01,3021.19,credit_card,same_day,5,
4,ORD-20260202-00004,13,2026-02-02,processing,422.64,11,420,88.75,884.9,cash_on_delivery,pickup,,
5,ORD-20240828-00005,18,2024-08-28,pending,1843.28,8,90,387.09,2172.91,bank_transfer,same_day,,
6,ORD-20251222-00006,18,2025-12-22,delivered,3107.06,20,470,652.48,3608.13,cash_on_delivery,standard,,Nota del cliente: Entregar por la tarde
7,ORD-20230711-00007,21,2023-07-11,pending,996.2,12,380,209.2,1465.86,paypal,standard,8,
8,ORD-20241030-00008,28,2024-10-30,processing,123.7,17,270,25.98,398.65,cash_on_delivery,pickup,,
9,ORD-20250905-00009,23,2025-09-05,cancelled,935.5,7,110,196.46,1176.48,cash_on_delivery,express,,
10,ORD-20251116-00010,8,2025-11-16,pending,1343.18,3,190,282.07,1774.95,bank_transfer,same_day,,
11,ORD-20231224-00011,1,2023-12-24,cancelled,2346.55,6,170,492.78,2868.54,bank_transfer,same_day,,
12,ORD-20250620-00012,34,2025-06-20,cancelled,1266.58,8,230,265.98,1661.23,cash_on_delivery,pickup,8,Nota del cliente: Entregar por la tarde
13,ORD-20231102-00013,22,2023-11-02,shipped,3283.27,14,150,689.49,3663.1,debit_card,standard,5,
14,ORD-20230621-00014,11,2023-06-21,delivered,170.37,3,450,35.78,651.04,cash_on_delivery,standard,4,
15,ORD-20260315-00015,29,2026-03-15,shipped,1909.52,5,360,401,2575.04,credit_card,pickup,,
16,ORD-20250717-00016,15,2025-07-17,pending,3188.73,20,380,669.63,3600.61,credit_card,standard,,
17,ORD-20240526-00017,8,2024-05-26,pending,3841.14,19,210,806.64,4127.96,credit_card,same_day,,
18,ORD-20250304-00018,31,2025-03-04,delivered,4350.39,11,180,913.58,4965.43,paypal,standard,5,
19,ORD-20241220-00019,33,2024-12-20,pending,3172.86,18,20,666.3,3288.05,paypal,pickup,6,
20,ORD-20231222-00020,29,2023-12-22,shipped,6393.5,18,370,1342.64,6955.31,bank_transfer,standard,,
21,ORD-20250316-00021,13,2025-03-16,shipped,2180.39,6,80,457.88,2587.45,credit_card,express,,
22,ORD-20251116-00022,16,2025-11-16,shipped,5629.78,6,300,1182.25,6774.24,cash_on_delivery,standard,,
23,ORD-20251030-00023,29,2025-10-30,cancelled,2698.68,11,280,566.72,3248.55,paypal,same_day,8,Nota del cliente: Dejar en portería
24,ORD-20251028-00024,7,2025-10-28,processing,4199.57,4,240,881.91,5153.5,paypal,express,,
25,ORD-20240316-00025,16,2024-03-16,pending,2185.5,13,90,458.96,2450.35,cash_on_delivery,pickup,,
26,ORD-20260213-00026,16,2026-02-13,processing,6208.98,17,30,1303.89,6487.34,credit_card,standard,,
27,ORD-20251122-00027,29,2025-11-22,delivered,441.75,19,290,92.77,740.59,cash_on_delivery,same_day,,
28,ORD-20230421-00028,11,2023-04-21,cancelled,42.46,13,320,8.92,365.86,paypal,same_day,,
29,ORD-20260315-00029,9,2026-03-15,delivered,2082.72,13,110,437.37,2359.34,paypal,pickup,,
30,ORD-20241121-00030,25,2024-11-21,delivered,4412.17,8,150,926.56,5135.76,bank_transfer,standard,,Nota del cliente: Llamar antes
31,ORD-20230125-00031,18,2023-01-25,cancelled,775.55,7,20,162.87,904.13,paypal,same_day,,
32,ORD-20260215-00032,22,2026-02-15,shipped,1025.26,8,440,215.3,1598.54,bank_transfer,standard,,
33,ORD-20250830-00033,7,2025-08-30,cancelled,84.09,12,240,17.66,331.66,cash_on_delivery,same_day,7,Nota del cliente: Llamar antes
34,ORD-20250508-00034,14,2025-05-08,cancelled,2321.24,9,480,487.46,3079.79,paypal,same_day,5,
35,ORD-20260402-00035,5,2026-04-02,pending,3089.34,20,500,648.76,3620.23,debit_card,standard,,
36,ORD-20230223-00036,34,2023-02-23,shipped,4903.64,8,200,1029.76,5741.11,paypal,same_day,,
37,ORD-20250726-00037,22,2025-07-26,pending,616.05,10,470,129.37,1153.82,debit_card,express,,Nota del cliente: Entregar por la tarde
38,ORD-20231226-00038,19,2023-12-26,processing,1385.82,1,210,291.02,1872.98,credit_card,express,9,
39,ORD-20260412-00039,27,2026-04-12,cancelled,3403.21,1,340,714.67,4423.85,cash_on_delivery,same_day,6,
40,ORD-20230311-00040,21,2023-03-11,cancelled,2241.78,1,450,470.77,3140.13,bank_transfer,same_day,,
41,ORD-20240704-00041,26,2024-07-04,processing,2229.95,10,260,468.29,2735.25,bank_transfer,standard,,Nota del cliente: Envolver para regalo
42,ORD-20230109-00042,18,2023-01-09,pending,3244.24,1,440,681.29,4333.09,credit_card,standard,,
43,ORD-20241026-00043,34,2024-10-26,processing,1125.22,14,170,236.3,1373.99,bank_transfer,same_day,,
44,ORD-20240413-00044,5,2024-04-13,cancelled,903.24,9,120,189.68,1131.63,cash_on_delivery,pickup,,
45,ORD-20230520-00045,26,2023-05-20,delivered,1783.48,9,60,374.53,2057.5,credit_card,standard,2,
46,ORD-20230405-00046,26,2023-04-05,processing,690.97,10,270,145.1,1036.97,bank_transfer,same_day,,
47,ORD-20240313-00047,22,2024-03-13,delivered,1075.8,5,70,225.92,1317.93,bank_transfer,same_day,,
48,ORD-20240305-00048,12,2024-03-05,pending,776.57,20,120,163.08,904.34,credit_card,same_day,,
49,ORD-20241212-00049,7,2024-12-12,processing,736.25,16,440,154.61,1213.06,cash_on_delivery,express,,
50,ORD-20241112-00050,19,2024-11-12,processing,120.48,10,20,25.3,153.73,bank_transfer,standard,,
51,ORD-20241225-00051,4,2024-12-25,processing,4554.2,17,430,956.38,5166.37,paypal,express,,
52,ORD-20240505-00052,25,2024-05-05,processing,1517.4,2,500,318.65,2305.7,debit_card,same_day,,
53,ORD-20260304-00053,22,2026-03-04,delivered,1008.17,14,410,211.72,1488.75,bank_transfer,express,,
54,ORD-20251006-00054,6,2025-10-06,delivered,1512.8,1,280,317.69,2095.36,paypal,same_day,7,
55,ORD-20231124-00055,17,2023-11-24,delivered,2931.16,17,490,615.54,3538.4,cash_on_delivery,pickup,10,
