promotion_id,promotion_code,promotion_name,promotion_type,discount_value,min_order_amount,max_uses,current_uses,start_date,end_date,is_active
1,PROMO5D04EA,Promotion 1,percentage,35,910,8949,262,2024-01-07,2024-03-30,false
2,PROMOFFE8DE,Promotion 2,fixed_amount,49,340,3219,366,2024-02-07,2024-02-18,true
3,PROMO9C4D7C,Promotion 3,fixed_amount,10,470,3760,343,2024-03-03,2024-05-31,true
4,PROMO5B8A1A,Promotion 4,free_shipping,46,920,9040,84,2024-03-13,2024-05-05,false
5,PROMO1F8766,Promotion 5,fixed_amount,25,80,9183,486,2024-01-30,2024-02-17,true
6,PROMO804F9B,Promotion 6,free_shipping,45,720,4772,190,2024-01-26,2024-03-10,true
7,PROMO9E5222,Promotion 7,percentage,10,460,5153,345,2024-03-06,2024-03-23,true
8,PROMOD745E7,Promotion 8,percentage,36,20,1837,270,2024-04-10,2024-06-22,true
9,PROMO24EF9E,Promotion 9,percentage,14,270,2832,406,2024-05-28,2024-06-29,false
10,PROMODE60BA,Promotion 10,free_shipping,48,350,8250,332,2024-01-08,2024-03-08,true
